row,veto_data
41,"['jb8d v2 banned Nuke', 'straykids banned Mirage', 'straykids banned Dust2', 'jb8d v2 banned Vertigo', 'jb8d v2 banned Ancient', 'straykids banned Anubis', 'Inferno picked by default']"
137,"['jb8d v2 banned Nuke', 'WICKED banned Mirage', 'WICKED banned Vertigo', 'jb8d v2 banned Inferno', 'jb8d v2 banned Dust2', 'WICKED banned Ancient', 'Anubis picked by default']"
198,"['Man I Luv Frags banned Mirage', 'jb8d v2 banned Nuke', 'jb8d v2 banned Vertigo', 'Man I Luv Frags banned Dust2', 'Man I Luv Frags banned Ancient', 'jb8d v2 banned Inferno', 'Anubis picked by default']"
