row,veto_data
5086,"['1. Death By Gamers banned Inferno', '2. Fathom Gaming banned Vertigo', '3. Fathom Gaming banned Anubis', '4. Death By Gamers banned Mirage', '5. Death By Gamers banned Nuke', '6. Fathom Gaming banned Overpass', '7. Ancient picked by default']"
5275,"['1. Death By Gamers banned Overpass', '2. Resurgence banned Nuke', '3. Anubis picked by Death By Gamers', '4. Mirage picked by Resurgence', '5. Death By Gamers banned Ancient', '6. Resurgence banned Inferno', '7. Vertigo picked by default']"
5461,"['1. Death By Gamers banned Overpass', '2. Resurgence banned Nuke', '3. Anubis picked by Death By Gamers', '4. Mirage picked by Resurgence', '5. Death By Gamers banned Ancient', '6. Resurgence banned Inferno', '7. Vertigo picked by default']"
5664,"['1. Death By Gamers banned Mirage', '2. Gecko Esports banned Vertigo', '3. Gecko Esports banned Inferno', '4. Death By Gamers banned Nuke', '5. Death By Gamers banned Overpass', '6. Gecko Esports banned Anubis', '7. Ancient picked by default']"
5859,"['1. Death By Gamers banned Mirage', '2. Hedgehogs banned Vertigo', '3. Hedgehogs banned Ancient', '4. Death By Gamers banned Nuke', '5. Death By Gamers banned Overpass', '6. Hedgehogs banned Anubis', '7. Inferno picked by default']"
6055,"['1. Death By Gamers banned Mirage', '2. The Burger People banned Vertigo', '3. The Burger People banned Ancient', '4. Death By Gamers banned Nuke', '5. Death By Gamers banned Overpass', '6. The Burger People banned Inferno', '7. Anubis picked by default']"
6250,"['1. Death By Gamers banned Inferno', '2. God Complex banned Anubis', '3. God Complex banned Vertigo', '4. Death By Gamers banned Nuke', '5. Death By Gamers banned Mirage', '6. God Complex banned Ancient', '7. Overpass picked by default']"
6450,[]
6634,"['1. Death By Gamers banned Mirage', '2. Samurai banned Inferno', '3. Samurai banned Overpass', '4. Death By Gamers banned Nuke', '5. Death By Gamers banned Vertigo', '6. Samurai banned Anubis', '7. Ancient picked by default']"
6826,"['1. Death By Gamers banned Mirage', '2. Hite Gaming banned Inferno', '3. Hite Gaming banned Ancient', '4. Death By Gamers banned Nuke', '5. Death By Gamers banned Overpass', '6. Hite Gaming banned Anubis', '7. Vertigo picked by default']"
7025,[]
7215,"['1. Death By Gamers banned Mirage', '2. Iniquity banned Ancient', '3. Iniquity banned Anubis', '4. Death By Gamers banned Nuke', '5. Death By Gamers banned Overpass', '6. Iniquity banned Inferno', '7. Vertigo picked by default']"
7476,"['1. Death By Gamers banned Overpass', '2. Demolition banned Inferno', '3. Anubis picked by Death By Gamers', '4. Ancient picked by Demolition', '5. Death By Gamers banned Mirage', '6. Demolition banned Nuke', '7. Vertigo picked by default']"
7749,"['1. Death By Gamers banned Mirage', '2. Nezumi banned Overpass', '3. Ancient picked by Death By Gamers', '4. Anubis picked by Nezumi', '5. Death By Gamers banned Nuke', '6. Nezumi banned Inferno', '7. Vertigo picked by default']"
8018,"['1. Death By Gamers banned Mirage', '2. DIEnamic banned Inferno', '3. Anubis picked by Death By Gamers', '4. Ancient picked by DIEnamic', '5. Death By Gamers banned Nuke', '6. DIEnamic banned Vertigo', '7. Overpass picked by default']"
8284,"['1. Death By Gamers banned Mirage', '2. Revenge Nation banned Inferno', '3. Anubis picked by Death By Gamers', '4. Vertigo picked by Revenge Nation', '5. Death By Gamers banned Nuke', '6. Revenge Nation banned Ancient', '7. Overpass picked by default']"
8589,"['1. Team 450 banned Nuke', '2. Death By Gamers banned Mirage', '3. Overpass picked by Team 450', '4. Ancient picked by Death By Gamers', '5. Team 450 banned Inferno', '6. Death By Gamers banned Vertigo', '7. Anubis picked by default']"
8862,"['1. Subway Surfer banned Nuke', '2. Five Kings banned Mirage', '3. Five Kings banned Overpass', '4. Subway Surfer banned Anubis', '5. Subway Surfer banned Ancient', '6. Five Kings banned Vertigo', '7. Inferno picked by default']"
9175,[]
9445,"['1. Five Kings banned Mirage', '2. Get_Fked banned Overpass', '3. Get_Fked banned Inferno', '4. Five Kings banned Nuke', '5. Five Kings banned Anubis', '6. Get_Fked banned Vertigo', '7. Ancient picked by default']"
9721,[]
