row,veto_data
4975,"['1. execute meso banned Vertigo', '2. Grandpa Berets banned Mirage', '3. Grandpa Berets banned Overpass', '4. execute meso banned Nuke', '5. execute meso banned Ancient', '6. Grandpa Berets banned Inferno', '7. Anubis picked by default']"
5170,"['1. Stunted and Old banned Overpass', '2. execute meso banned Vertigo', '3. execute meso banned Ancient', '4. Stunted and Old banned Mirage', '5. Stunted and Old banned Nuke', '6. execute meso banned Inferno', '7. Anubis picked by default']"
5432,"['1. execute meso banned Mirage', '2. Atomic Gaming banned Inferno', '3. Atomic Gaming banned Overpass', '4. execute meso banned Vertigo', '5. execute meso banned Anubis', '6. Atomic Gaming banned Ancient', '7. Nuke picked by default']"
5703,"['1. Straight Gas banned Ancient', '2. execute meso banned Vertigo', '3. execute meso banned Mirage', '4. Straight Gas banned Inferno', '5. Straight Gas banned Anubis', '6. execute meso banned Nuke', '7. Overpass picked by default']"
5975,"['1. execute meso banned Vertigo', '2. Amped Red banned Nuke', '3. Amped Red banned Inferno', '4. execute meso banned Mirage', '5. execute meso banned Overpass', '6. Amped Red banned Anubis', '7. Ancient picked by default']"
6249,"['1. execute meso banned Mirage', '2. Sweet Aim Bro banned Overpass', '3. Sweet Aim Bro banned Anubis', '4. execute meso banned Vertigo', '5. execute meso banned Nuke', '6. Sweet Aim Bro banned Inferno', '7. Ancient picked by default']"
6505,"['1. execute meso banned Mirage', '2. OK2STRONG banned Inferno', '3. OK2STRONG banned Vertigo', '4. execute meso banned Nuke', '5. execute meso banned Overpass', '6. OK2STRONG banned Anubis', '7. Ancient picked by default']"
6777,"['1. Jelly Jammers banned Vertigo', '2. execute meso banned Mirage', '3. execute meso banned Nuke', '4. Jelly Jammers banned Ancient', '5. Jelly Jammers banned Inferno', '6. execute meso banned Overpass', '7. Anubis picked by default']"
7044,"['1. execute meso banned Vertigo', '2. Moneyball banned Anubis', '3. Moneyball banned Inferno', '4. execute meso banned Mirage', '5. execute meso banned Nuke', '6. Moneyball banned Overpass', '7. Ancient picked by default']"
7304,"['1. The Big Dawgs banned Anubis', '2. execute meso banned Mirage', '3. execute meso banned Vertigo', '4. The Big Dawgs banned Inferno', '5. The Big Dawgs banned Overpass', '6. execute meso banned Nuke', '7. Ancient picked by default']"
7589,"['1. sword fighters banned Vertigo', '2. execute meso banned Mirage', '3. execute meso banned Inferno', '4. sword fighters banned Overpass', '5. sword fighters banned Nuke', '6. execute meso banned Anubis', '7. Ancient picked by default']"
7878,"['1. Serpent Gaming banned Mirage', '2. execute meso banned Vertigo', '3. execute meso banned Nuke', '4. Serpent Gaming banned Overpass', '5. Serpent Gaming banned Inferno', '6. execute meso banned Ancient', '7. Anubis picked by default']"
8151,"['1. execute meso banned Mirage', '2. Gator Pit banned Vertigo', '3. Gator Pit banned Inferno', '4. execute meso banned Overpass', '5. execute meso banned Nuke', '6. Gator Pit banned Anubis', '7. Ancient picked by default']"
8439,"['1. execute meso banned Vertigo', '2. The Suga Show banned Inferno', '3. Anubis picked by execute meso', '4. Mirage picked by The Suga Show', '5. execute meso banned Nuke', '6. The Suga Show banned Overpass', '7. Ancient picked by default']"
8728,"['1. execute meso banned Nuke', '2. Lost eSports banned Mirage', '3. Ancient picked by execute meso', '4. Anubis picked by Lost eSports', '5. execute meso banned Vertigo', '6. Lost eSports banned Inferno', '7. Overpass picked by default']"
