row,veto_data
4615,"['1. Calamity banned Overpass', '2. Boop Boop Gang banned Inferno', '3. Boop Boop Gang banned Ancient', '4. Calamity banned Nuke', '5. Calamity banned Mirage', '6. Boop Boop Gang banned Vertigo', '7. Anubis picked by default']"
4879,"['1. Aether banned Nuke', '2. Boop Boop Gang banned Inferno', '3. Boop Boop Gang banned Ancient', '4. Aether banned Overpass', '5. Aether banned Mirage', '6. Boop Boop Gang banned Vertigo', '7. Anubis picked by default']"
5130,"['1. Lucidity banned Anubis', '2. Boop Boop Gang banned Ancient', '3. Boop Boop Gang banned Vertigo', '4. Lucidity banned Overpass', '5. Lucidity banned Nuke', '6. Boop Boop Gang banned Inferno', '7. Mirage picked by default']"
5397,"['1. frank banned Inferno', '2. Boop Boop Gang banned Vertigo', '3. Boop Boop Gang banned Mirage', '4. frank banned Overpass', '5. frank banned Nuke', '6. Boop Boop Gang banned Ancient', '7. Anubis picked by default']"
5661,"['1. Boop Boop Gang banned Inferno', '2. Lonely Fans banned Anubis', '3. Lonely Fans banned Nuke', '4. Boop Boop Gang banned Ancient', '5. Boop Boop Gang banned Mirage', '6. Lonely Fans banned Vertigo', '7. Overpass picked by default']"
5926,"['1. Boop Boop Gang banned Inferno', '2. Midwest Farmers banned Mirage', '3. Midwest Farmers banned Anubis', '4. Boop Boop Gang banned Ancient', '5. Boop Boop Gang banned Nuke', '6. Midwest Farmers banned Vertigo', '7. Overpass picked by default']"
6178,"['1. Abyssal Echoes banned Nuke', '2. Boop Boop Gang banned Inferno', '3. Boop Boop Gang banned Mirage', '4. Abyssal Echoes banned Vertigo', '5. Abyssal Echoes banned Overpass', '6. Boop Boop Gang banned Ancient', '7. Anubis picked by default']"
6430,"['1. Boop Boop Gang banned Inferno', '2. Team Elixir banned Ancient', '3. Team Elixir banned Anubis', '4. Boop Boop Gang banned Mirage', '5. Boop Boop Gang banned Vertigo', '6. Team Elixir banned Nuke', '7. Overpass picked by default']"
6694,"['1. CUMBUP banned Overpass', '2. Boop Boop Gang banned Mirage', '3. Boop Boop Gang banned Inferno', '4. CUMBUP banned Nuke', '5. CUMBUP banned Anubis', '6. Boop Boop Gang banned Ancient', '7. Vertigo picked by default']"
6963,"['1. Caffeinds banned Vertigo', '2. Boop Boop Gang banned Inferno', '3. Boop Boop Gang banned Mirage', '4. Caffeinds banned Overpass', '5. Caffeinds banned Ancient', '6. Boop Boop Gang banned Anubis', '7. Nuke picked by default']"
7221,[]
7473,"['1. COVEN banned Nuke', '2. Boop Boop Gang banned Inferno', '3. Boop Boop Gang banned Mirage', '4. COVEN banned Vertigo', '5. COVEN banned Anubis', '6. Boop Boop Gang banned Ancient', '7. Overpass picked by default']"
7747,"['1. Boop Boop Gang banned Mirage', '2. Spaced 0ut banned Overpass', '3. Spaced 0ut banned Vertigo', '4. Boop Boop Gang banned Inferno', '5. Boop Boop Gang banned Anubis', '6. Spaced 0ut banned Ancient', '7. Nuke picked by default']"
8011,"['1. EXCERITUS banned Inferno', '2. Boop Boop Gang banned Mirage', '3. Boop Boop Gang banned Ancient', '4. EXCERITUS banned Nuke', '5. EXCERITUS banned Anubis', '6. Boop Boop Gang banned Vertigo', '7. Overpass picked by default']"
8276,"['1. Mad Cats banned Mirage', '2. Boop Boop Gang banned Inferno', '3. Boop Boop Gang banned Anubis', '4. Mad Cats banned Nuke', '5. Mad Cats banned Vertigo', '6. Boop Boop Gang banned Ancient', '7. Overpass picked by default']"
8546,[]
8809,"['1. Boop Boop Gang banned Mirage', '2. Zashkvar banned Inferno', '3. Zashkvar banned Overpass', '4. Boop Boop Gang banned Anubis', '5. Boop Boop Gang banned Vertigo', '6. Zashkvar banned Ancient', '7. Nuke picked by default']"
9142,"['1. Filthy Casuals banned Vertigo', '2. Boop Boop Gang banned Anubis', '3. Boop Boop Gang banned Inferno', '4. Filthy Casuals banned Nuke', '5. Filthy Casuals banned Overpass', '6. Boop Boop Gang banned Ancient', '7. Mirage picked by default']"
9415,"['1. MikesMoneyKrew banned Inferno', '2. Boop Boop Gang banned Anubis', '3. Boop Boop Gang banned Ancient', '4. MikesMoneyKrew banned Mirage', '5. MikesMoneyKrew banned Nuke', '6. Boop Boop Gang banned Vertigo', '7. Overpass picked by default']"
9686,"['1. catpiss banned Vertigo', '2. Boop Boop Gang banned Anubis', '3. Boop Boop Gang banned Ancient', '4. catpiss banned Mirage', '5. catpiss banned Inferno', '6. Boop Boop Gang banned Overpass', '7. Nuke picked by default']"
